FBgn0000008	FBgn0114341	Dere\GG22167	EOG091902HN
FBgn0036815	FBgn0105942	Dere\GG13678	EOG09190FJG
FBgn0036816	FBgn0107966	Dere\GG15722	EOG091905VY
FBgn0036817	FBgn0108240	Dere\GG16005	EOG09190C9N
FBgn0036818	FBgn0108241	Dere\GG16006	EOG09190IA4
FBgn0036819	FBgn0108242	Dere\GG16007	EOG09190FQ3
FBgn0036820	FBgn0108244	Dere\GG16009	EOG09190IOF
FBgn0036821	FBgn0105720	Dere\GG13448	EOG09190355
FBgn0036822	FBgn0108247	Dere\GG16012	EOG09190HBR
FBgn0036824	FBgn0105719	Dere\GG13447	EOG091908RP
FBgn0036825	FBgn0108248	Dere\GG16013	EOG09190IB3
FBgn0036826	FBgn0105717	Dere\GG13445	EOG09190HMX
FBgn0036827	FBgn0108249	Dere\GG16014	EOG09190ETL
FBgn0036828	FBgn0108250	Dere\GG16015	EOG091901ZD
FBgn0036829	FBgn0105715	Dere\GG13443	EOG091903E8
FBgn0036830	FBgn0105714	Dere\GG13442	EOG09190G48
FBgn0036831	FBgn0108251	Dere\GG16016	EOG091907FC
FBgn0036832	FBgn0105713	Dere\GG13441	EOG09190GJ4
FBgn0036833	FBgn0105712	Dere\GG13440	EOG091909O0
FBgn0036834	FBgn0108252	Dere\GG16017	EOG09190BJQ
FBgn0036835	FBgn0108253	Dere\GG16018	EOG09190I8I
FBgn0036836	FBgn0105710	Dere\GG13438	EOG091905GC
FBgn0036837	FBgn0105708	Dere\GG13436	EOG091903QL
FBgn0036838	FBgn0105705	Dere\GG13433	EOG091906PI
FBgn0036839	FBgn0105704	Dere\GG13432	EOG091907ON
FBgn0036842	FBgn0105702	Dere\GG13430	EOG09190739
FBgn0036843	FBgn0108255	Dere\GG16020	EOG09190CX2
FBgn0036844	FBgn0105700	Dere\GG13428	EOG091907OL
FBgn0036846	FBgn0108256	Dere\GG16021	EOG091907BZ
FBgn0036847	FBgn0105699	Dere\GG13427	EOG09190H5N
FBgn0036848	FBgn0105698	Dere\GG13426	EOG09190CP1
FBgn0036849	FBgn0108257	Dere\GG16022	EOG09190DX5
FBgn0036850	FBgn0105697	Dere\GG13425	EOG09190FY9
FBgn0036851	FBgn0105696	Dere\GG13424	EOG091909J3
FBgn0036853	FBgn0105691	Dere\GG13419	EOG09190G5P
FBgn0036856	FBgn0108262	Dere\GG16027	EOG09190EVP
FBgn0036857	FBgn0105688	Dere\GG13416	EOG091905TN
FBgn0036859	FBgn0108263	Dere\GG16028	EOG0919029Z
FBgn0036860	FBgn0108264	Dere\GG16029	EOG09190GRM
FBgn0036861	FBgn0105687	Dere\GG13415	EOG09190KDP
FBgn0036862	FBgn0105686	Dere\GG13414	EOG09190558
FBgn0036868	FBgn0108267	Dere\GG16032	EOG091902HV
FBgn0036874	FBgn0105677	Dere\GG13405	EOG091903NS
FBgn0036875	FBgn0105676	Dere\GG13404	EOG091908XI
FBgn0036876	FBgn0105675	Dere\GG13403	EOG091909LQ
FBgn0036877	FBgn0105674	Dere\GG13402	EOG0919086Y
FBgn0036878	FBgn0105672	Dere\GG13400	EOG09190EUO
FBgn0036879	FBgn0108274	Dere\GG16039	EOG09190GGO
FBgn0036880	FBgn0108275	Dere\GG16040	EOG09190816
FBgn0036881	FBgn0108277	Dere\GG16042	EOG0919033G
FBgn0036882	FBgn0105671	Dere\GG13399	EOG091902AB
FBgn0036886	FBgn0108279	Dere\GG16044	EOG091903RN
FBgn0036887	FBgn0105666	Dere\GG13394	EOG09190IQ7
FBgn0036888	FBgn0108280	Dere\GG16045	EOG091903L3
FBgn0036889	FBgn0105665	Dere\GG13393	EOG09190C7V
FBgn0036890	FBgn0108282	Dere\GG16047	EOG09190IP0
FBgn0036891	FBgn0108283	Dere\GG16048	EOG091908P0
FBgn0036892	FBgn0105661	Dere\GG13389	EOG0919023C
FBgn0036893	FBgn0108284	Dere\GG16049	EOG09190E54
FBgn0036895	FBgn0250761	Dere\GG25362	EOG091901GP
FBgn0036896	FBgn0105659	Dere\GG13387	EOG091901YB
FBgn0036897	FBgn0105658	Dere\GG13386	EOG09190D7A
FBgn0036899	FBgn0105656	Dere\GG13384	EOG091905K8
FBgn0036900	FBgn0105652	Dere\GG13380	EOG0919076C
FBgn0036906	FBgn0105646	Dere\GG13374	EOG0919074V
FBgn0036908	FBgn0105645	Dere\GG13373	EOG09190GZH
FBgn0036909	FBgn0108293	Dere\GG16058	EOG09190I83
FBgn0036910	FBgn0105642	Dere\GG13370	EOG091906GA
FBgn0036911	FBgn0105639	Dere\GG13367	EOG09190ACK
FBgn0036913	FBgn0108300	Dere\GG16065	EOG091900EQ
FBgn0036915	FBgn0108301	Dere\GG16066	EOG091904W9
FBgn0036916	FBgn0105634	Dere\GG13362	EOG09190BZG
FBgn0036918	FBgn0108303	Dere\GG16068	EOG09190IM4
FBgn0036919	FBgn0108304	Dere\GG16069	EOG09190ASV
FBgn0036920	FBgn0105632	Dere\GG13360	EOG09190CUG
FBgn0036921	FBgn0108305	Dere\GG16070	EOG09190FSJ
FBgn0036922	FBgn0105628	Dere\GG13356	EOG09190GQD
FBgn0036923	FBgn0108307	Dere\GG16072	EOG09190DGE
FBgn0036924	FBgn0105627	Dere\GG13355	EOG09190CUL
FBgn0036925	FBgn0108308	Dere\GG16073	EOG091906SR
FBgn0036926	FBgn0108310	Dere\GG16075	EOG09190FXB
FBgn0036927	FBgn0105624	Dere\GG13352	EOG091906OB
FBgn0036928	FBgn0108312	Dere\GG16077	EOG09190IN9
FBgn0036929	FBgn0108313	Dere\GG16078	EOG09190AN1
FBgn0036931	FBgn0105623	Dere\GG13351	EOG091902E0
FBgn0036932	FBgn0105622	Dere\GG13350	EOG09190G4S
FBgn0036934	FBgn0105621	Dere\GG13349	EOG091908A0
FBgn0036935	FBgn0105620	Dere\GG13348	EOG091906L8
FBgn0036936	FBgn0108315	Dere\GG16080	EOG09190DCH
FBgn0036937	FBgn0105618	Dere\GG13346	EOG0919043T
FBgn0036938	FBgn0105617	Dere\GG13345	EOG09190IF3
FBgn0036939	FBgn0105616	Dere\GG13344	EOG091907YX
FBgn0036940	FBgn0105615	Dere\GG13343	EOG09190CHT
FBgn0036941	FBgn0105614	Dere\GG13342	EOG09190ABI
FBgn0036942	FBgn0105613	Dere\GG13341	EOG09190BAL
FBgn0036945	FBgn0108318	Dere\GG16083	EOG09190GYG
FBgn0036947	FBgn0105609	Dere\GG13337	EOG09190AQS
FBgn0036948	FBgn0105607	Dere\GG13335	EOG091909DX
FBgn0036949	FBgn0108843	Dere\GG16613	EOG09190B2O
FBgn0036950	FBgn0108319	Dere\GG16084	EOG091909JG
FBgn0036951	FBgn0105606	Dere\GG13334	EOG09190CSL
FBgn0036952	FBgn0105605	Dere\GG13333	EOG09190BDH
FBgn0036953	FBgn0108322	Dere\GG16087	EOG09190BM2
FBgn0036956	FBgn0108325	Dere\GG16090	EOG0919083L
FBgn0036958	FBgn0105604	Dere\GG13332	EOG091901M3
FBgn0036959	FBgn0108327	Dere\GG16092	EOG09190G3F
FBgn0036962	FBgn0278068	Dere\GG26763	EOG0919064X
FBgn0036964	FBgn0105602	Dere\GG13330	EOG09190EBG
FBgn0036967	FBgn0108333	Dere\GG16098	EOG09190DLU
FBgn0036973	FBgn0105599	Dere\GG13327	EOG0919068B
FBgn0036974	FBgn0108337	Dere\GG16102	EOG091907TB
FBgn0036975	FBgn0108338	Dere\GG16103	EOG091907F1
FBgn0036977	FBgn0108340	Dere\GG16105	EOG091909PK
FBgn0036978	FBgn0105595	Dere\GG13323	EOG0919029R
FBgn0036979	FBgn0108342	Dere\GG16107	EOG09190BX5
FBgn0036980	FBgn0108344	Dere\GG16109	EOG0919030H
FBgn0036984	FBgn0105590	Dere\GG13318	EOG0919046S
FBgn0036985	FBgn0108347	Dere\GG16112	EOG0919009Q
FBgn0036986	FBgn0105587	Dere\GG13315	EOG091908IX
FBgn0036987	FBgn0105586	Dere\GG13314	EOG09190AMJ
FBgn0036988	FBgn0105584	Dere\GG13312	EOG091906IM
FBgn0036990	FBgn0105582	Dere\GG13310	EOG09190CLO
FBgn0036991	FBgn0108349	Dere\GG16114	EOG091906YV
FBgn0036992	FBgn0105581	Dere\GG13309	EOG091909OA
FBgn0036993	FBgn0108350	Dere\GG16115	EOG09190ET7
FBgn0036994	FBgn0105580	Dere\GG13308	EOG09190B72
FBgn0036995	FBgn0105579	Dere\GG13307	EOG091900JS
FBgn0036996	FBgn0108351	Dere\GG16116	EOG091908MG
FBgn0036997	FBgn0108352	Dere\GG16117	EOG09190AWU
FBgn0036998	FBgn0108353	Dere\GG16118	EOG09190JDX
FBgn0036999	FBgn0108355	Dere\GG16120	EOG09190AQ0
FBgn0037000	FBgn0105577	Dere\GG13305	EOG091907I5
FBgn0037001	FBgn0108356	Dere\GG16121	EOG091908Z8
FBgn0037005	FBgn0108359	Dere\GG16124	EOG09190B2E
FBgn0037007	FBgn0105576	Dere\GG13304	EOG09190GJG
FBgn0037008	FBgn0105575	Dere\GG13303	EOG09190D36
FBgn0037009	FBgn0108361	Dere\GG16126	EOG09190HK4
FBgn0037010	FBgn0105573	Dere\GG13301	EOG091906E9
FBgn0037011	FBgn0108362	Dere\GG16127	EOG09190E7Y
FBgn0037012	FBgn0105572	Dere\GG13300	EOG09190JHG
FBgn0037013	FBgn0108363	Dere\GG16128	EOG09190GJH
FBgn0037014	FBgn0108366	Dere\GG16131	EOG091902LE
FBgn0037015	FBgn0105562	Dere\GG13290	EOG09190EOQ
FBgn0037016	FBgn0108368	Dere\GG16133	EOG09190AEF
FBgn0037017	FBgn0105560	Dere\GG13288	EOG09190BUF
FBgn0037018	FBgn0105559	Dere\GG13287	EOG09190EC6
FBgn0037019	FBgn0105558	Dere\GG13286	EOG09190BKT
FBgn0037020	FBgn0108371	Dere\GG16136	EOG09190ECN
FBgn0037021	FBgn0105557	Dere\GG13285	EOG0919034N
FBgn0037022	FBgn0105556	Dere\GG13284	EOG091907M9
FBgn0037023	FBgn0105554	Dere\GG13282	EOG09190AR5
FBgn0037024	FBgn0108372	Dere\GG16137	EOG09190A58
FBgn0037025	FBgn0108373	Dere\GG16138	EOG0919022M
FBgn0037026	FBgn0105553	Dere\GG13281	EOG091906AI
FBgn0037028	FBgn0105551	Dere\GG13279	EOG091903G9
FBgn0037030	FBgn0108379	Dere\GG16144	EOG09190IW3
FBgn0037031	FBgn0108381	Dere\GG16146	EOG0919077F
FBgn0037035	FBgn0108384	Dere\GG16149	EOG09190BCM
FBgn0037037	FBgn0108385	Dere\GG16150	EOG091901VM
FBgn0037040	FBgn0105543	Dere\GG13271	EOG091901AN
FBgn0037042	FBgn0108389	Dere\GG16154	EOG09190GMV
FBgn0037044	FBgn0108390	Dere\GG16155	EOG091907N3
FBgn0037045	FBgn0105537	Dere\GG13265	EOG09190D58
FBgn0037046	FBgn0105536	Dere\GG13264	EOG09190GXD
FBgn0037050	FBgn0108395	Dere\GG16160	EOG091908O6
FBgn0037051	FBgn0105534	Dere\GG13262	EOG091905KY
FBgn0037057	FBgn0108400	Dere\GG16165	EOG0919090B
FBgn0037059	FBgn0105526	Dere\GG13254	EOG091909D3
FBgn0037060	FBgn0108401	Dere\GG16166	EOG091904KH
FBgn0037061	FBgn0105525	Dere\GG13253	EOG09190J2P
FBgn0037063	FBgn0105524	Dere\GG13252	EOG09190CQZ
FBgn0037064	FBgn0105523	Dere\GG13251	EOG0919074L
FBgn0037065	FBgn0105519	Dere\GG13247	EOG091909XQ
FBgn0037067	FBgn0105518	Dere\GG13246	EOG09190J57
FBgn0037068	FBgn0108405	Dere\GG16170	EOG09190J3D
FBgn0037069	FBgn0108406	Dere\GG16171	EOG09190J9P
FBgn0037070	FBgn0105516	Dere\GG13244	EOG09190AHI
FBgn0037071	FBgn0108407	Dere\GG16172	EOG09190AQ7
FBgn0037073	FBgn0108412	Dere\GG16177	EOG091902ON
FBgn0037074	FBgn0105514	Dere\GG13242	EOG091900YI
FBgn0037076	FBgn0105513	Dere\GG13241	EOG09190D7E
FBgn0037078	FBgn0105512	Dere\GG13240	EOG09190JOP
FBgn0037081	FBgn0105510	Dere\GG13238	EOG091906VD
FBgn0037082	FBgn0105508	Dere\GG13236	EOG091903ND
FBgn0037084	FBgn0112363	Dere\GG20169	EOG09190D1H
FBgn0037085	FBgn0105504	Dere\GG13232	EOG09190BYE
FBgn0037086	FBgn0105503	Dere\GG13231	EOG09190IY0
FBgn0037087	FBgn0108425	Dere\GG16190	EOG09190H00
FBgn0037092	FBgn0108427	Dere\GG16192	EOG09190A7Z
FBgn0037093	FBgn0108428	Dere\GG16193	EOG091901QT
FBgn0037094	FBgn0108429	Dere\GG16194	EOG0919048C
FBgn0037098	FBgn0105495	Dere\GG13223	EOG091900F4
FBgn0037099	FBgn0105494	Dere\GG13222	EOG091906BP
FBgn0037100	FBgn0105493	Dere\GG13221	EOG09190CMQ
FBgn0037101	FBgn0108437	Dere\GG16202	EOG091904T2
FBgn0037102	FBgn0105492	Dere\GG13220	EOG09190HO7
FBgn0037105	FBgn0105490	Dere\GG13218	EOG091901OS
FBgn0037106	FBgn0108442	Dere\GG16207	EOG091909SA
FBgn0037107	FBgn0105489	Dere\GG13217	EOG091906VO
FBgn0037108	FBgn0108444	Dere\GG16209	EOG091908HQ
FBgn0037109	FBgn0105488	Dere\GG13216	EOG091902B1
FBgn0037110	FBgn0108445	Dere\GG16210	EOG09190I5Y
FBgn0037114	FBgn0105485	Dere\GG13213	EOG09190I30
FBgn0037115	FBgn0108450	Dere\GG16215	EOG09190812
FBgn0037116	FBgn0105484	Dere\GG13212	EOG091900MZ
FBgn0037117	FBgn0108451	Dere\GG16216	EOG091902SM
FBgn0037120	FBgn0105480	Dere\GG13208	EOG091905LX
FBgn0037121	FBgn0108453	Dere\GG16218	EOG09190HHM
FBgn0037122	FBgn0105479	Dere\GG13207	EOG09190FLV
FBgn0037123	FBgn0105478	Dere\GG13206	EOG09190H9W
FBgn0037124	FBgn0105477	Dere\GG13205	EOG09190J3M
FBgn0037125	FBgn0108455	Dere\GG16220	EOG09190HU9
FBgn0037126	FBgn0105476	Dere\GG13204	EOG09190GIZ
FBgn0037127	FBgn0105474	Dere\GG13202	EOG09190JWS
FBgn0037128	FBgn0108456	Dere\GG16221	EOG09190GKB
FBgn0037129	FBgn0105473	Dere\GG13201	EOG09190FHW
FBgn0037130	FBgn0105472	Dere\GG13200	EOG091905YF
FBgn0037131	FBgn0108457	Dere\GG16222	EOG09190IQN
FBgn0037133	FBgn0108458	Dere\GG16223	EOG09190KKC
FBgn0037134	FBgn0108462	Dere\GG16227	EOG09190IY5
FBgn0037135	FBgn0108463	Dere\GG16228	EOG091905BV
FBgn0037137	FBgn0108466	Dere\GG16231	EOG09190JP2
FBgn0037138	FBgn0105467	Dere\GG13195	EOG091904OA
FBgn0037140	FBgn0108468	Dere\GG16233	EOG091906WM
FBgn0037141	FBgn0105465	Dere\GG13193	EOG091902EI
FBgn0037142	FBgn0108469	Dere\GG16234	EOG091900RI
FBgn0037144	FBgn0108472	Dere\GG16237	EOG091906Y6
FBgn0037146	FBgn0108474	Dere\GG16239	EOG091902QD
FBgn0037147	FBgn0105462	Dere\GG13190	EOG0919078Z
FBgn0037149	FBgn0108478	Dere\GG16243	EOG09190HRI
FBgn0037150	FBgn0105460	Dere\GG13188	EOG09190E82
FBgn0037151	FBgn0105459	Dere\GG13187	EOG09190IMC
FBgn0037153	FBgn0108481	Dere\GG16246	EOG091903LQ
FBgn0037156	FBgn0105457	Dere\GG13185	EOG09190IZD
FBgn0037162	FBgn0108490	Dere\GG16255	EOG091908Y9
FBgn0037163	FBgn0105454	Dere\GG13182	EOG09190EDP
FBgn0037164	FBgn0108491	Dere\GG16256	EOG09190CFO
FBgn0037165	FBgn0108492	Dere\GG16257	EOG09190DEM
FBgn0037166	FBgn0108493	Dere\GG16258	EOG09190C9U
FBgn0037167	FBgn0108494	Dere\GG16259	EOG09190EZK
FBgn0037169	FBgn0108496	Dere\GG16261	EOG09190KHC
FBgn0037170	FBgn0108498	Dere\GG16263	EOG091906SZ
FBgn0037171	FBgn0105451	Dere\GG13179	EOG09190K7E
FBgn0037172	FBgn0108499	Dere\GG16264	EOG09190KN1
FBgn0037174	FBgn0108504	Dere\GG16269	EOG09190DTH
FBgn0037175	FBgn0105449	Dere\GG13177	EOG09190IHS
FBgn0037176	FBgn0108505	Dere\GG16270	EOG09190FTA
FBgn0037181	FBgn0108506	Dere\GG16271	EOG09190I4H
FBgn0037182	FBgn0105447	Dere\GG13175	EOG091906MG
FBgn0037183	FBgn0105445	Dere\GG13173	EOG09190DG9
FBgn0037184	FBgn0278149	Dere\GG26844	EOG091909T4
FBgn0037185	FBgn0108510	Dere\GG16275	EOG09190D9D
FBgn0037186	FBgn0105443	Dere\GG13171	EOG091906DK
FBgn0037188	FBgn0108511	Dere\GG16276	EOG091905IR
FBgn0037191	FBgn0108513	Dere\GG16278	EOG09190FBM
FBgn0037195	FBgn0108514	Dere\GG16279	EOG09190GS4
FBgn0037197	FBgn0108515	Dere\GG16280	EOG09190JIC
FBgn0037199	FBgn0105437	Dere\GG13165	EOG09190GZ0
FBgn0037200	FBgn0108518	Dere\GG16283	EOG091908J6
FBgn0037202	FBgn0108519	Dere\GG16285	EOG091907TS
FBgn0037203	FBgn0108520	Dere\GG16286	EOG091905MC
FBgn0037204	FBgn0108522	Dere\GG16288	EOG09190HA8
FBgn0037205	FBgn0108523	Dere\GG16289	EOG091903P3
FBgn0037206	FBgn0108524	Dere\GG16290	EOG09190BWD
FBgn0037207	FBgn0108526	Dere\GG16292	EOG091909C0
FBgn0037213	FBgn0104446	Dere\GG12154	EOG091905KX
FBgn0037215	FBgn0104468	Dere\GG12176	EOG091902RF
FBgn0037217	FBgn0104091	Dere\GG11796	EOG09190E8T
FBgn0037218	FBgn0104479	Dere\GG12187	EOG091901B9
FBgn0037220	FBgn0104058	Dere\GG11763	EOG091908HK
FBgn0037222	FBgn0104047	Dere\GG11752	EOG09190CKV
FBgn0037224	FBgn0104511	Dere\GG12219	EOG09190IBG
FBgn0037225	FBgn0104036	Dere\GG11741	EOG09190F7I
FBgn0037227	FBgn0104522	Dere\GG12230	EOG09190HBM
FBgn0037228	FBgn0104544	Dere\GG12252	EOG091908MZ
FBgn0037229	FBgn0104014	Dere\GG11718	EOG09190BEE
FBgn0037230	FBgn0103992	Dere\GG11696	EOG091904Y8
FBgn0037231	FBgn0103981	Dere\GG11685	EOG09190GDX
FBgn0037232	FBgn0104577	Dere\GG12286	EOG091902ZA
FBgn0037234	FBgn0104587	Dere\GG12296	EOG09190A91
FBgn0037235	FBgn0104608	Dere\GG12318	EOG09190HLP
FBgn0037236	FBgn0103951	Dere\GG11654	EOG091909G7
FBgn0037238	FBgn0104619	Dere\GG12329	EOG091904MX
FBgn0037239	FBgn0104630	Dere\GG12340	EOG09190BIF
FBgn0037241	FBgn0104662	Dere\GG12373	EOG0919088T
FBgn0037242	FBgn0103918	Dere\GG11621	EOG09190BZ3
FBgn0037244	FBgn0104672	Dere\GG12384	EOG09190BA8
FBgn0037248	FBgn0103873	Dere\GG11576	EOG091902FY
FBgn0037249	FBgn0103862	Dere\GG11565	EOG0919026C
FBgn0037250	FBgn0104716	Dere\GG12428	EOG0919068N
FBgn0037251	FBgn0103851	Dere\GG11554	EOG09190FCC
FBgn0037252	FBgn0104727	Dere\GG12439	EOG091904H5
FBgn0037254	FBgn0104749	Dere\GG12461	EOG091901V6
FBgn0037255	FBgn0103818	Dere\GG11521	EOG09190B1U
FBgn0037260	FBgn0277724	Dere\GG26419	EOG09190H25
FBgn0037261	FBgn0103764	Dere\GG11466	EOG09190GG3
FBgn0037262	FBgn0104804	Dere\GG12516	EOG09190HJI
FBgn0037263	FBgn0104815	Dere\GG12527	EOG09190CIV
FBgn0037265	FBgn0104848	Dere\GG12560	EOG091906AE
FBgn0037270	FBgn0103733	Dere\GG11433	EOG09190COM
FBgn0037275	FBgn0103688	Dere\GG11388	EOG091909QW
FBgn0037276	FBgn0103677	Dere\GG11377	EOG091901WG
FBgn0037279	FBgn0104866	Dere\GG12578	EOG091909LT
FBgn0037280	FBgn0104872	Dere\GG12584	EOG091909VL
FBgn0037282	FBgn0103634	Dere\GG11333	EOG09190CL5
FBgn0037283	FBgn0103612	Dere\GG11311	EOG09190HZV
FBgn0037284	FBgn0103601	Dere\GG11300	EOG09190J8Q
FBgn0037288	FBgn0103567	Dere\GG11266	EOG09190EOE
FBgn0037290	FBgn0104886	Dere\GG12598	EOG09190E3F
FBgn0037291	FBgn0103545	Dere\GG11244	EOG0919068S
FBgn0037292	FBgn0103534	Dere\GG11233	EOG09190FIE
FBgn0037293	FBgn0104903	Dere\GG12615	EOG091906UG
FBgn0037294	FBgn0104915	Dere\GG12627	EOG091908RL
FBgn0037295	FBgn0104926	Dere\GG12638	EOG09190AAJ
FBgn0037296	FBgn0103479	Dere\GG11178	EOG09190DB5
FBgn0037297	FBgn0104937	Dere\GG12649	EOG091907PK
FBgn0037298	FBgn0103467	Dere\GG11166	EOG091908O8
FBgn0037299	FBgn0104959	Dere\GG12671	EOG09190HKU
FBgn0037301	FBgn0104970	Dere\GG12682	EOG091901VL
FBgn0037304	FBgn0104981	Dere\GG12693	EOG091907C7
FBgn0037305	FBgn0103424	Dere\GG11122	EOG09190DT3
FBgn0037310	FBgn0105013	Dere\GG12726	EOG09190I3V
FBgn0037312	FBgn0103368	Dere\GG11066	EOG09190F7J
FBgn0037313	FBgn0105025	Dere\GG12738	EOG09190HE7
FBgn0037315	FBgn0103355	Dere\GG11053	EOG0919049A
FBgn0037317	FBgn0105064	Dere\GG12782	EOG09190BUK
FBgn0037320	FBgn0103341	Dere\GG11039	EOG09190DOQ
FBgn0037322	FBgn0103339	Dere\GG11037	EOG09190AL0
FBgn0037323	FBgn0103337	Dere\GG11035	EOG09190BKP
FBgn0037324	FBgn0103334	Dere\GG11032	EOG091906YA
FBgn0037325	FBgn0103329	Dere\GG11027	EOG09190CUW
FBgn0037326	FBgn0105092	Dere\GG12815	EOG09190DZF
FBgn0037327	FBgn0103325	Dere\GG11023	EOG091901C3
FBgn0037328	FBgn0103314	Dere\GG11012	EOG09190IL1
FBgn0037329	FBgn0105103	Dere\GG12826	EOG09190AVJ
FBgn0037330	FBgn0103303	Dere\GG11001	EOG09190BOH
FBgn0037332	FBgn0105125	Dere\GG12849	EOG091902RM
FBgn0037336	FBgn0103274	Dere\GG10971	EOG091900U1
FBgn0037338	FBgn0105156	Dere\GG12882	EOG091907MS
FBgn0037339	FBgn0103264	Dere\GG10961	EOG09190451
FBgn0037340	FBgn0103261	Dere\GG10958	EOG09190IV5
FBgn0037341	FBgn0105165	Dere\GG12892	EOG09190B5D
FBgn0037342	FBgn0103251	Dere\GG10948	EOG09190CWO
FBgn0037344	FBgn0103245	Dere\GG10942	EOG0919014U
FBgn0037345	FBgn0105198	Dere\GG12925	EOG09190I3S
FBgn0037347	FBgn0105219	Dere\GG12946	EOG091909X7
FBgn0037350	FBgn0084318	Dere\GG10921	EOG09190HAI
FBgn0037351	FBgn0105231	Dere\GG12958	EOG09190FGQ
FBgn0037356	FBgn0105248	Dere\GG12975	EOG091908ET
FBgn0037358	FBgn0103207	Dere\GG10903	EOG09190G8S
FBgn0037359	FBgn0105253	Dere\GG12980	EOG09190BVX
FBgn0037360	FBgn0103202	Dere\GG10898	EOG091907RG
FBgn0037363	FBgn0105259	Dere\GG12986	EOG091902TL
FBgn0037364	FBgn0103194	Dere\GG10890	EOG09190DTB
FBgn0037365	FBgn0103189	Dere\GG10885	EOG09190AGJ
FBgn0037368	FBgn0105273	Dere\GG13000	EOG09190C46
FBgn0037369	FBgn0103181	Dere\GG10877	EOG0919075L
FBgn0037370	FBgn0105280	Dere\GG13007	EOG09190C7B
FBgn0037371	FBgn0103175	Dere\GG10871	EOG091901D2
FBgn0037372	FBgn0103171	Dere\GG10867	EOG091909P1
FBgn0037374	FBgn0105296	Dere\GG13023	EOG09190FIF
FBgn0037375	FBgn0105310	Dere\GG13037	EOG09190479
FBgn0037376	FBgn0103137	Dere\GG10832	EOG091908J1
FBgn0037377	FBgn0105321	Dere\GG13048	EOG09190A0D
FBgn0037378	FBgn0103126	Dere\GG10821	EOG09190FMW
FBgn0037379	FBgn0105325	Dere\GG13052	EOG0919022S
FBgn0037382	FBgn0103115	Dere\GG10810	EOG091904UL
FBgn0037383	FBgn0103103	Dere\GG10798	EOG09190FKC
FBgn0037384	FBgn0105338	Dere\GG13065	EOG09190IN0
FBgn0037385	FBgn0105344	Dere\GG13071	EOG09190IIF
FBgn0037386	FBgn0105349	Dere\GG13076	EOG091906ZO
FBgn0037387	FBgn0105352	Dere\GG13079	EOG091907AK
FBgn0037388	FBgn0105361	Dere\GG13088	EOG09190GA7
FBgn0037391	FBgn0103081	Dere\GG10776	EOG0919050V
FBgn0037395	FBgn0102962	Dere\GG10655	EOG09190C0L
FBgn0037396	FBgn0102951	Dere\GG10644	EOG09190B7C
FBgn0037398	FBgn0102930	Dere\GG10622	EOG0919042B
FBgn0037399	FBgn0102919	Dere\GG10611	EOG091908XF
FBgn0037402	FBgn0105386	Dere\GG13113	EOG09190IO4
FBgn0037405	FBgn0105392	Dere\GG13119	EOG0919040G
FBgn0037406	FBgn0105395	Dere\GG13122	EOG09190EOB
FBgn0037408	FBgn0105398	Dere\GG13125	EOG091907QP
FBgn0037409	FBgn0105403	Dere\GG13130	EOG0919076M
FBgn0037410	FBgn0105409	Dere\GG13136	EOG09190DUC
FBgn0037411	FBgn0105412	Dere\GG13139	EOG09190E70
FBgn0037412	FBgn0102863	Dere\GG10555	EOG09190CE7
FBgn0037413	FBgn0105416	Dere\GG13143	EOG09190H1I
FBgn0037414	FBgn0105424	Dere\GG13151	EOG09190FWK
FBgn0037415	FBgn0105428	Dere\GG13155	EOG09190EQ4
FBgn0037416	FBgn0105434	Dere\GG13161	EOG09190HXJ
FBgn0037417	FBgn0105442	Dere\GG13170	EOG091907X6
FBgn0037418	FBgn0102852	Dere\GG10544	EOG09190CR7
FBgn0037419	FBgn0105453	Dere\GG13181	EOG09190IQL
FBgn0037421	FBgn0105464	Dere\GG13192	EOG09190FB1
FBgn0037422	FBgn0105475	Dere\GG13203	EOG09190H47
FBgn0037424	FBgn0105498	Dere\GG13226	EOG09190H3C
FBgn0037427	FBgn0105552	Dere\GG13280	EOG091909VK
FBgn0037428	FBgn0105563	Dere\GG13291	EOG09190G4K
FBgn0037429	FBgn0105574	Dere\GG13302	EOG09190G3H
FBgn0037430	FBgn0105585	Dere\GG13313	EOG09190FDM
FBgn0037431	FBgn0105597	Dere\GG13325	EOG09190HHI
FBgn0037432	FBgn0105608	Dere\GG13336	EOG09190GNN
FBgn0037433	FBgn0105619	Dere\GG13347	EOG09190G96
FBgn0037435	FBgn0105630	Dere\GG13358	EOG09190859
FBgn0037436	FBgn0105640	Dere\GG13368	EOG09190E0W
FBgn0037439	FBgn0105662	Dere\GG13390	EOG091904ZX
FBgn0037442	FBgn0105695	Dere\GG13423	EOG091906LS
FBgn0037443	FBgn0102775	Dere\GG10466	EOG091907RC
FBgn0037445	FBgn0102744	Dere\GG10435	EOG091901JR
FBgn0037446	FBgn0105729	Dere\GG13457	EOG091909H9
FBgn0037447	FBgn0105740	Dere\GG13468	EOG091903I7
FBgn0037448	FBgn0105751	Dere\GG13479	EOG091903GO
FBgn0037449	FBgn0105762	Dere\GG13490	EOG09190B0E
FBgn0037454	FBgn0278187	Dere\GG26882	EOG09190BW4
FBgn0037455	FBgn0105784	Dere\GG13512	EOG09190BZT
FBgn0037456	FBgn0102711	Dere\GG10402	EOG09190IXR
